Task 1: Predicting Application Approval,,,,Scoring Metric,,Data Type,Accuracy,Precision,Recall,Average Fit Time
Logistic Regression,,,,Accuracy,,Non-Text,0.567,0.887,0.56,4.911
Decision Tree ,,,,Accuracy,,Non-Text,0.585,0.893,0.58,1.201
Decision Tree ,,,,Accuracy,,Text,0.604,0.897,0.602,79.206
Multinomial Naïve Bayes,,,,Precision,,Non-Text,0.555,0.884,0.546,0.2
Multinomial Naïve Bayes,,,,Precision,,Text,0.716,0.902,0.744,1.33
K Nearest Neighbors,,,,Precision,,Non-Text,0.8,0.8516,0.92591,0.279
,,,,,,,,,,
Task 2: Predicting Core Academic Competency Projects,,,,,,,,,,
Multinomial Naïve Bayes,,,,Precision,,Non-Text,0.559,0.731,0.588,0.121
Multinomial Naïve Bayes,,,,Accuracy,,Text,0.848,0.89,0.894,0.595
Decision Tree ,,,,Accuracy,,Non-Text,0.603,0.776,0.6117,0.483
Decision Tree ,,,,Accuracy,,Text,0.7797,0.899,0.773,94.274
K Nearest Neighbors,,,,Accuracy,,Non-Text,0.708,0.725,0.942,0.33